CO-BRANCH;OFFICE;;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;PADANGSIDIMPUAN;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;PADANGSIDIMPUAN;SAHAJA;Distribusi;0;0;0;0;0;0;0;0; 7.500.000 ; 7.500.000 ;0; 300.000.000 ;0;0; -   ; 7.500.000 ; -   ; -   
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;KCP PANYABUNGAN;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0; 20.000.000 ; 20.000.000 ;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;KCP PANYABUNGAN;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;KCP PANYABUNGAN;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;KCP PANYABUNGAN;SAHAJA;Distribusi;0;0;0;0;0;0;0;0; 6.750.000 ;0; 12.000.000 ;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;241 - BANDA ACEH;BANDA ACEH;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;241 - BANDA ACEH;BANDA ACEH;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;241 - BANDA ACEH;BANDA ACEH;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;241 - BANDA ACEH;BANDA ACEH;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 15.000.000 ; 15.000.000 ;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;251 - PEMATANG SIANTAR;PEMATANG SIANTAR;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;251 - PEMATANG SIANTAR;PEMATANG SIANTAR;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;251 - PEMATANG SIANTAR;PEMATANG SIANTAR;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;251 - PEMATANG SIANTAR;PEMATANG SIANTAR;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0; 30.000.000 ;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;252 - KCP KISARAN;KCP KISARAN;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0; 16.000.000 ;0;0;0; 16.000.000 ; 25.000.000 ; -   ; 50.000.000 
482 - MEDAN BARU;252 - KCP KISARAN;KCP KISARAN;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;252 - KCP KISARAN;KCP KISARAN;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;252 - KCP KISARAN;KCP KISARAN;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 7.500.000 ; 12.000.000 ; 12.000.000 ;0; 15.000.000 ; -   ; -   ; -   ; -   
241 - BANDA ACEH;261 - LANGSA;LANGSA;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 66.000.000 ; 32.000.000 ;0; 48.000.000 ; 16.000.000 ; 32.000.000 ; 20.000.000 ; 32.000.000 ; 32.000.000 ; 32.000.000 
241 - BANDA ACEH;261 - LANGSA;LANGSA;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;261 - LANGSA;LANGSA;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; 2.896.400 
241 - BANDA ACEH;261 - LANGSA;LANGSA;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 6.000.000 ; -   ; -   ; -   
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;KCP LHOKSEUMAWE;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 116.000.000 ; 142.000.000 ; 95.000.000 ; 129.000.000 ; 102.000.000 ; 125.000.000 ; 73.000.000 ; 129.000.000 ; 122.000.000 ; 77.000.000 
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;KCP LHOKSEUMAWE;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;KCP LHOKSEUMAWE;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;KCP LHOKSEUMAWE;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 12.000.000 ; 12.000.000 ;39600000; 15.600.000 ; 15.600.000 ; -   ; 31.200.000 ; 15.600.000 ; 15.600.000 
351 - LAMPUNG;351 - LAMPUNG;LAMPUNG;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0; 50.000.000 ; 40.000.000 ;0;0;0; -   ; 16.000.000 ; -   ; -   
351 - LAMPUNG;351 - LAMPUNG;LAMPUNG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;351 - LAMPUNG;LAMPUNG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; 1.658.800 
351 - LAMPUNG;351 - LAMPUNG;LAMPUNG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 7.500.000 ;0;0;0; -   ; -   ; -   ; 7.500.000 
351 - LAMPUNG;352 - KCP BANDAR JAYA;KCP BANDAR JAYA;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 32.000.000 ; 32.000.000 ; 16.000.000 ; 16.000.000 ; 16.000.000 ; 16.000.000 ; -   ; -   ; 16.000.000 
351 - LAMPUNG;352 - KCP BANDAR JAYA;KCP BANDAR JAYA;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;352 - KCP BANDAR JAYA;KCP BANDAR JAYA;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;352 - KCP BANDAR JAYA;KCP BANDAR JAYA;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 12.000.000 ; 15.000.000 ;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;353 - KCP METRO LAMPUNG;KCP METRO LAMPUNG;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 32.000.000 ; 16.000.000 ; 36.000.000 ; 16.000.000 ;0; -   ; 16.000.000 ; 16.000.000 ; 16.000.000 
351 - LAMPUNG;353 - KCP METRO LAMPUNG;KCP METRO LAMPUNG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;353 - KCP METRO LAMPUNG;KCP METRO LAMPUNG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
